keys,ja
SYSTEM_GAME____TITLE__,"길드 탐구단에 어서 오세요!"
SYSTEM_GAME____TIT_BAR,"Welcome to the Guild Explorers"
SYSTEM_GAME____CREATE_,"제작：파르소닉[br](파르소니 공방)"
SYSTEM_GAME____DEMO___,"Demo"
SYSTEM_MSG_____OK_____,"OK"
SYSTEM_MSG_____YES____,"Yes"
SYSTEM_MSG_____NO_____,"No"
SYSTEM_MSG_____STEAM__,"Steam이 실행되어 있지 않습니다. [br][color=red]세이브가 동기화되지 않을[/color] 가능성이나, [br][color=red]도전과제가 해제되지 않을[/color] 가능성이 있습니다. [br]\n이대로 계속하시겠습니까?[br](「No」를 선택하면 게임을 종료합니다)"
SYSTEM_MSG_____PREPARE,"이 게임은[color=red][b]픽션[/b][/color]입니다. [br]  실존 인물・단체・작품 등과는[b]일절 관계없습니다. [/b][br]\n이 게임은[b][color=green]오토 세이브[/color][/b]를 지원합니다. [br]  화면 왼쪽 아래에[color=green]「Auto Save. . . 」[/color]가 표시되어 있을 때는, [br]게임을 종료하지 말아 주세요. [br](세이브 데이터가 손상될 가능성이 있습니다)"
SYSTEM_MSG_____BACKTIT,"타이틀 화면으로 돌아갑니다. [br]괜찮습니까?"
SYSTEM_MSG_____DELETE_,"세이브 데이터를 삭제합니다. [br]삭제하면[color=red] 되돌릴 수 없습니다. [/color][br]\n정말로 [color=red]세이브 데이터를 삭제[/color] 하시겠습니까?"
SYSTEM_MSG_____QUIT___,"게임을 종료합니다. [br]괜찮습니까?"
SYSTEM_TUTORIA_SMOKE__,"……파티 정보를 채우는 데 필요한 [color=green][b]『기록』[/b][/color]이 [color=red][b]아직 모이지 않았기[/b][/color] 때문에, 내 눈에는『기록지』에 [color=red][b]얼룩 같은『노이즈』[/b][/color]가 끼어 보인다. [br]\n[color=green][b]『기록』을 찾을[/b][/color] 때마다, 조금씩[color=green][b]『노이즈』도 사라져 갈[/b][/color] 것이다. [br](일단 노이즈가 낀 상태에서도 채워 넣는 것은 가능하다)[br]\n잘못된 조사 결과를 판단 재료로 삼은『끼워맞추기』는 피하고 싶다…… 신중하게 조사하자."
SYSTEM_TUTORIA_NOSMOKE,"이미 필요한 [color=green][b]『기록』[/b][/color]이[color=green][b]모여 있으니[/b][/color], 정리하면 [color=green][b]『특정』[/b][/color] 가능하다. [br]\n[left][ul]「리더」「멤버」「사망」에 해당하는 모험가의 [b]『얼굴 사진』[/b]을 선택한다. [/ul] [ul]각 모험가의 [b]『직업(전사, 마도사 등)』[/b]을 선택한다. [/ul] [ul]파티의[b]『랭크(S~D)』[/b]를 선택한다. [/ul][/left]\n모든 정보를 정확히 [color=green][b]『특정』[/b][/color]할 수 있다면, [color=orange][b]『기록지』[/b][/color]는 완성이다."
SYSTEM_TUTORIA_REARCH_,"*TIPS: [b][]안의 숫자[/b]에 대하여[br][u]그『기록』[/u]에서 도달할 수 있는 [u][b]다른『기록』의 수[/b][/u]를 나타낸다. [br]\n또한, 현시점에서 도달할 수 있는 기록이 하나도 없는『기록』에 대해서도, 조사가 진행되면 [u][b]복수의『기록』이 정보를 보완해 주는[/b][/u] 관계가 되어, [u][b]새로 도달할 수 있는『기록』[/b][/u]이 생겨날 수도 있다."
SYSTEM_SAVEDAT_TITLE__,"Game Data"
SYSTEM_SAVEDAT_DAT_NEW,"New Data"
SYSTEM_SAVEDAT_DELETE_,"DELETE"
